기업명,연도,보고서유형,평균급여,남성직원수,여성직원수,정규직수,계약직수,남성정규직수,남성계약직수,여성정규직수,여성계약직수,평균급여증감율,남성직원수증감율,여성직원수증감율,정규직수증감율,계약직수증감율,남성정규직수증감율,남성계약직수증감율,여성정규직수증감율,여성계약직수증감율,매출액,매출액증감율,영업이익,영업이익증감율
AK홀딩스,2016,사업보고서,43785714.28571428,12.0,2.0,14.0,0.0,12.0,0.0,2.0,0.0,-0.0285261489698891,0.0,0.0,0.0,,0.0,,0.0,,1543633171902.0,12.003739171385314,117364002830.0,21.866100058619367
AK홀딩스,2017,반기보고서,42250000.0,14.0,2.0,15.0,1.0,13.0,1.0,2.0,0.0,-0.0350734094616639,0.1666666666666666,0.0,0.0714285714285714,,0.0833333333333333,,0.0,,1616236134021.0,4.70338182934626,120865481754.0,2.98343515862512
AK홀딩스,2017,사업보고서,43733333.333333336,13.0,2.0,14.0,1.0,12.0,1.0,2.0,0.0,0.0351084812623274,-0.0714285714285714,0.0,-0.0666666666666666,0.0,-0.0769230769230769,0.0,0.0,,1776218476484.0,9.898451042854935,144775785317.0,19.782574160971063
AK홀딩스,2018,반기보고서,53833333.333333336,13.0,5.0,18.0,0.0,13.0,0.0,5.0,0.0,0.2309451219512195,0.0,1.5,0.2857142857142857,-1.0,0.0833333333333333,-1.0,1.5,,1810201750293.0,1.9132372655119216,153611164508.0,6.10280177148003
AK홀딩스,2018,사업보고서,56277777.777777776,15.0,3.0,17.0,1.0,14.0,1.0,3.0,0.0,0.045407636738906,0.1538461538461538,-0.4,-0.0555555555555555,,0.0769230769230769,,-0.4,,1900981352458.0,5.014888652621531,116106731547.0,-24.41517391077833
AK홀딩스,2019,반기보고서,43571428.571428575,12.0,2.0,13.0,1.0,11.0,1.0,2.0,0.0,-0.2257791566774784,-0.2,-0.3333333333333333,-0.2352941176470588,0.0,-0.2142857142857142,0.0,-0.3333333333333333,,1887570037402.0,-0.7054942984400636,107464770373.0,-7.4431181197291165
AK홀딩스,2019,사업보고서,34600000.0,16.0,4.0,19.0,1.0,15.0,1.0,4.0,0.0,-0.2059016393442623,0.3333333333333333,1.0,0.4615384615384615,0.0,0.3636363636363636,0.0,1.0,,1871972025108.0,-0.826354094678716,23872121486.0,-77.78609547748333
AK홀딩스,2020,반기보고서,42523809.52380952,15.0,6.0,20.0,1.0,14.0,1.0,6.0,0.0,0.229011835948252,-0.0625,0.5,0.0526315789473684,0.0,-0.0666666666666666,0.0,0.5,,1331501815202.0,-28.87170335116619,-103955337556.0,-535.4675290043469
AK홀딩스,2020,사업보고서,47666666.66666666,16.0,5.0,20.0,1.0,15.0,1.0,5.0,0.0,0.1209406494960806,0.0666666666666666,-0.1666666666666666,0.0,0.0,0.0714285714285714,0.0,-0.1666666666666666,,1288475403043.0,-3.2314197147731663,-117599479711.0,13.125003944746943
AK홀딩스,2021,반기보고서,55947368.42105264,15.0,4.0,18.0,1.0,14.0,1.0,4.0,0.0,0.1737210158262791,-0.0625,-0.2,-0.1,0.0,-0.0666666666666666,0.0,-0.2,,1522248159330.0,18.1433619714352,-56854749823.0,-51.65391040613429
AK홀딩스,2021,사업보고서,50842105.2631579,16.0,3.0,18.0,1.0,15.0,1.0,3.0,0.0,-0.0912511759172154,0.0666666666666666,-0.25,0.0,0.0,0.0714285714285714,0.0,-0.25,,1645451492760.0,8.09351173623534,-108860194268.0,91.47071195793345
AK홀딩스,2022,반기보고서,39666666.66666666,17.0,4.0,20.0,1.0,16.0,1.0,4.0,0.0,-0.2198067632850242,0.0625,0.3333333333333333,0.1111111111111111,0.0,0.0666666666666666,0.0,0.3333333333333333,,1799735559179.0,9.376397122482864,-32568271508.0,-70.08247897498599
AK홀딩스,2022,사업보고서,40739130.43478261,19.0,4.0,22.0,1.0,18.0,1.0,4.0,0.0,0.0270369017172087,0.1176470588235294,0.0,0.1,0.0,0.125,0.0,0.0,,1988224296156.0,10.473135123416936,10745797881.0,-132.994682810724
AK홀딩스,2023,반기보고서,48681818.18181818,19.0,3.0,21.0,1.0,18.0,1.0,3.0,0.0,0.1949645871737653,0.0,-0.25,-0.0454545454545454,0.0,0.0,0.0,-0.25,,2183450230561.0,9.819110187037076,160275377900.0,1391.5167740441889
AK홀딩스,2023,사업보고서,50217391.30434783,20.0,3.0,22.0,1.0,19.0,1.0,3.0,0.0,0.0315430520034101,0.0526315789473684,0.0,0.0476190476190476,0.0,0.0555555555555555,0.0,0.0,,2296209911064.0,5.164289019495,118848512658.0,-25.847304673240146
AK홀딩스,2024,반기보고서,56347826.08695652,20.0,3.0,23.0,0.0,20.0,0.0,3.0,0.0,0.122077922077922,0.0,0.0,0.0454545454545454,-1.0,0.0526315789473684,-1.0,0.0,,2325789636735.0,1.2881978049338518,119400645136.0,0.4645682690105037
AK홀딩스,2024,사업보고서,37047619.047619045,18.0,3.0,21.0,0.0,18.0,0.0,3.0,0.0,-0.3425191064079954,-0.1,0.0,-0.0869565217391304,,-0.1,,0.0,,2162490896066.0,-7.021217142331185,10919483273.0,-90.85475353959563
